,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude,longitude,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
31,32.8,-115.5,AMT006,BEA160,060250113001124,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.8,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
32,32.8,-115.4,AMT006,BEA160,060250108002006,1.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.8,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
33,32.8,-115.3,AMT006,BEA160,060250108001291,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.8,-115.3,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
34,32.8,-114.6,AMT006,BEA160,060259400001111,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.8,-114.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
35,32.9,-117.3,AMT006,BEA161,060739901000022,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
36,32.9,-117.2,AMT006,BEA161,060730083461038,14.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
37,32.9,-117.1,AMT006,BEA161,060730170224007,127.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
38,32.9,-117.0,AMT006,BEA161,060730095041039,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
39,32.9,-116.9,AMT006,BEA161,060730169021151,11.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
40,32.9,-116.8,AMT006,BEA161,060730169021133,26.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
41,32.9,-116.6,AMT006,BEA161,060730212021024,127.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
42,32.9,-116.5,AMT006,BEA161,060730209021184,3.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,32.9,-116.5,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
43,32.9,-115.9,AMT006,BEA160,060250123011280,1.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.9,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
44,32.9,-115.6,AMT006,BEA160,060250110006073,1.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.9,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
45,32.9,-115.5,AMT006,BEA160,060250110006005,7.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.9,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
46,32.9,-115.4,AMT006,BEA160,060250108001053,1.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,32.9,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
47,33.0,-117.3,AMT006,BEA161,060739901000017,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
48,33.0,-117.2,AMT006,BEA161,060730170292010,40.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
49,33.0,-117.1,AMT006,BEA161,060730170321081,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
50,33.0,-117.0,AMT006,BEA161,060730170212007,530.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
51,33.0,-116.9,AMT006,BEA161,060730208013011,1048.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
52,33.0,-116.8,AMT006,BEA161,060730208112008,184.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
