,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
29,29,32.8,-115.7,AMT006,BEA160,60250111001096.0,12.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-115.7,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
30,30,32.8,-115.6,AMT006,BEA160,60250111002060.0,11.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
31,31,32.8,-115.5,AMT006,BEA160,60250113001124.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
32,32,32.8,-115.4,AMT006,BEA160,60250108002006.0,1.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
33,33,32.8,-115.3,AMT006,BEA160,60250108001291.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-115.3,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
34,34,32.8,-114.6,AMT006,BEA160,60259400001111.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.8,-114.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
35,35,32.9,-117.3,AMT006,BEA161,60739901000022.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
36,36,32.9,-117.2,AMT006,BEA161,60730083461038.0,14.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
37,37,32.9,-117.1,AMT006,BEA161,60730170224007.0,127.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
38,38,32.9,-117.0,AMT006,BEA161,60730095041039.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
